Year,Genre,
2022,Traditional,
2022,Ballad,
2022,Rock,
2022,Pop,
2022,Rock,
2022,Ballad,
2022,Pop,
2022,Pop,
2022,Ballad,
2022,Pop,
2022,Pop,
2022,Ballad,
2022,Ballad,
2022,Pop,
2022,Ballad,
2022,Dance,
2022,Ballad,
2022,Pop,
2022,Ballad,
2022,Pop,
2022,Traditional,
2021,Dance,
2021,Ballad,
2021,Traditional,
2021,Pop,
2021,Pop,
2021,Ballad,
2021,Pop,
2021,Pop,
2021,Pop,
2021,Pop,
2021,Ballad,
2021,Pop,
2021,Ballad,
2021,Pop,
2021,Traditional,
2021,Pop,
2021,Dance,
2021,Ballad,
2021,Ballad,
2021,Pop,
2021,Ballad,
2021,Pop,
2021,Pop,
2021,Pop,
2021,Pop,
2021,Ballad,
2021,Ballad,
2021,Traditional,
2021,Ballad,
2021,Rock,
2021,Ballad,
2021,Ballad,
2021,Pop,
2021,Ballad,
2021,Ballad,
2021,Pop,
2021,Pop,
2021,Ballad,
2021,Rock,
2019,Dance,
2019,Pop,
2019,Dance,
2019,Traditional,
2019,Ballad,
2019,Pop,
2019,Ballad,
2019,Dance,
2019,Ballad,
2019,Ballad,
2019,Traditional,
2019,Opera,
2019,Dance,
2019,Pop,
2019,Traditional,
2019,Pop,
2019,Dance,
2019,Pop,
2019,Pop,
2019,Ballad,
2019,Dance,
2019,Pop,
2019,Pop,
2019,Pop,
2019,Ballad,
2019,Ballad,
2019,Ballad,
2019,Pop,
2019,Pop,
2019,Ballad,
2019,Traditional,
2019,Dance,
2019,Ballad,
2019,Ballad,
2019,Pop,
2019,Ballad,
2019,Ballad,
2019,Ballad,
2019,Pop,
2019,Pop,
2019,Pop,
2018,Pop,
2018,Ballad,
2018,Rock,
2018,Pop,
2018,Pop,
2018,Ballad,
2018,Pop,
2018,Ballad,
2018,Opera,
2018,Pop,
2018,Pop,
2018,Pop,
2018,Pop,
2018,Pop,
2018,Pop,
2018,Pop,
2018,Pop,
2018,Traditional,
2018,Pop,
2018,Pop,
2018,Pop,
2018,Traditional,
2018,Pop,
2018,Traditional,
2018,Pop,
2018,Pop,
2018,Rock,
2018,Pop,
2018,Pop,
2018,Dance,
2018,Pop,
2018,Rock,
2018,Pop,
2018,Pop,
2018,Rock,
2018,Pop,
2018,Dance,
2018,Pop,
2018,Pop,
2018,Pop,
2018,Pop,
2018,Pop,
2018,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Ballad,
2017,Pop,
2017,Ballad,
2017,Pop,
2017,Pop,
2017,Dance,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Ballad,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Ballad,
2017,Pop,
2017,Pop,
2017,Traditional,
2017,Pop,
2017,Ballad,
2017,Pop,
2017,Opera,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Pop,
2017,Ballad,
2017,Pop,
2017,Rock,
2017,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Rock,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Ballad,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Ballad,
2016,Ballad,
2016,Pop,
2016,Pop,
2016,Dance,
2016,Pop,
2016,Pop,
2016,Dance,
2016,Rock,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
2016,Pop,
