from,to,points,type
Norway,Australia,8,Public
Belgium,Australia,4,Public
United Kingdom,Australia,6,Public
Croatia,Australia,5,Public
Greece,Australia,5,Public
Lithuania,Australia,5,Public
Serbia,Australia,6,Public
Macedonia,Australia,3,Public
Albania,Australia,12,Public
Estonia,Australia,4,Public
Ukraine,Australia,4,Public
Poland,Australia,7,Public
Slovenia,Australia,3,Public
Hungary,Australia,3,Public
Sweden,Australia,12,Public
Finland,Cyprus,1,Public
Armenia,Cyprus,6,Public
Bulgaria,Cyprus,7,Public
Russia,Cyprus,7,Public
United Kingdom,Cyprus,2,Public
Greece,Cyprus,12,Public
Serbia,Cyprus,3,Public
Estonia,Cyprus,3,Public
Italy,Cyprus,6,Public
Poland,Cyprus,1,Public
Hungary,Cyprus,5,Public
Austria,Serbia,4,Public
Bosnia and Herzegovina,Serbia,12,Public
Switzerland,Serbia,12,Public
Croatia,Serbia,12,Public
Macedonia,Serbia,12,Public
Italy,Serbia,4,Public
Slovenia,Serbia,12,Public
Montenegro,Serbia,12,Public
Iceland,Lithuania,4,Public
San Marino,Lithuania,8,Public
Ireland,Lithuania,12,Public
Georgia,Lithuania,5,Public
Denmark,Lithuania,6,Public
Moldova,Lithuania,3,Public
Cyprus,Lithuania,3,Public
Latvia,Lithuania,8,Public
Norway,Lithuania,12,Public
Australia,Lithuania,1,Public
United Kingdom,Lithuania,12,Public
Albania,Lithuania,4,Public
Estonia,Lithuania,5,Public
Ukraine,Lithuania,3,Public
Italy,Lithuania,2,Public
Montenegro,Lithuania,2,Public
Sweden,Lithuania,6,Public
Bosnia and Herzegovina,Croatia,10,Public
Serbia,Croatia,4,Public
Macedonia,Croatia,5,Public
Slovenia,Croatia,8,Public
Montenegro,Croatia,6,Public
Austria,Russia,8,Public
Iceland,Russia,7,Public
Azerbaijan,Russia,12,Public
San Marino,Russia,10,Public
Czech Republic,Russia,10,Public
Ireland,Russia,8,Public
Georgia,Russia,8,Public
Bosnia and Herzegovina,Russia,6,Public
Malta,Russia,10,Public
Spain,Russia,8,Public
Finland,Russia,8,Public
Switzerland,Russia,6,Public
Denmark,Russia,4,Public
France,Russia,6,Public
Moldova,Russia,12,Public
Armenia,Russia,12,Public
Cyprus,Russia,10,Public
Bulgaria,Russia,12,Public
Netherlands,Russia,3,Public
Latvia,Russia,12,Public
Israel,Russia,10,Public
Belarus,Russia,12,Public
Germany,Russia,12,Public
Norway,Russia,6,Public
Australia,Russia,5,Public
Belgium,Russia,6,Public
United Kingdom,Russia,7,Public
Croatia,Russia,8,Public
Greece,Russia,10,Public
Lithuania,Russia,8,Public
Serbia,Russia,12,Public
Macedonia,Russia,8,Public
Albania,Russia,7,Public
Estonia,Russia,12,Public
Ukraine,Russia,12,Public
Italy,Russia,8,Public
Poland,Russia,8,Public
Slovenia,Russia,10,Public
Hungary,Russia,10,Public
Montenegro,Russia,10,Public
Sweden,Russia,8,Public
Switzerland,Spain,2,Public
France,Spain,1,Public
Australia,Spain,2,Public
United Kingdom,Spain,4,Public
Sweden,Spain,1,Public
San Marino,Latvia,6,Public
Ireland,Latvia,7,Public
Georgia,Latvia,6,Public
Finland,Latvia,2,Public
Moldova,Latvia,1,Public
Belarus,Latvia,5,Public
Russia,Latvia,1,Public
Norway,Latvia,3,Public
United Kingdom,Latvia,3,Public
Lithuania,Latvia,12,Public
Estonia,Latvia,7,Public
Ukraine,Latvia,5,Public
Poland,Latvia,5,Public
Austria,Ukraine,10,Public
Azerbaijan,Ukraine,10,Public
San Marino,Ukraine,12,Public
Czech Republic,Ukraine,12,Public
Ireland,Ukraine,4,Public
Georgia,Ukraine,10,Public
Bosnia and Herzegovina,Ukraine,7,Public
Malta,Ukraine,4,Public
Spain,Ukraine,7,Public
Finland,Ukraine,12,Public
Switzerland,Ukraine,4,Public
Denmark,Ukraine,3,Public
France,Ukraine,10,Public
Moldova,Ukraine,10,Public
Armenia,Ukraine,10,Public
Cyprus,Ukraine,7,Public
Bulgaria,Ukraine,10,Public
Netherlands,Ukraine,7,Public
Latvia,Ukraine,10,Public
Israel,Ukraine,8,Public
Belarus,Ukraine,10,Public
Germany,Ukraine,6,Public
Russia,Ukraine,10,Public
Norway,Ukraine,4,Public
Australia,Ukraine,8,Public
Belgium,Ukraine,2,Public
United Kingdom,Ukraine,5,Public
Croatia,Ukraine,10,Public
Greece,Ukraine,6,Public
Lithuania,Ukraine,10,Public
Serbia,Ukraine,7,Public
Macedonia,Ukraine,6,Public
Albania,Ukraine,6,Public
Estonia,Ukraine,8,Public
Italy,Ukraine,12,Public
Poland,Ukraine,12,Public
Slovenia,Ukraine,7,Public
Hungary,Ukraine,12,Public
Montenegro,Ukraine,8,Public
Sweden,Ukraine,7,Public
Azerbaijan,Malta,5,Public
Armenia,Malta,5,Public
Australia,Malta,6,Public
Azerbaijan,Georgia,1,Public
Armenia,Georgia,8,Public
Latvia,Georgia,2,Public
Lithuania,Georgia,4,Public
Ukraine,Georgia,6,Public
Italy,Georgia,3,Public
Iceland,Austria,2,Public
Czech Republic,Austria,4,Public
Ireland,Austria,1,Public
Bosnia and Herzegovina,Austria,5,Public
Spain,Austria,2,Public
Finland,Austria,6,Public
Switzerland,Austria,10,Public
Denmark,Austria,1,Public
France,Austria,8,Public
Moldova,Austria,4,Public
Armenia,Austria,4,Public
Bulgaria,Austria,4,Public
Netherlands,Austria,6,Public
Latvia,Austria,4,Public
Israel,Austria,3,Public
Germany,Austria,7,Public
Russia,Austria,8,Public
Australia,Austria,3,Public
Belgium,Austria,3,Public
Croatia,Austria,6,Public
Greece,Austria,1,Public
Lithuania,Austria,1,Public
Estonia,Austria,6,Public
Poland,Austria,4,Public
Slovenia,Austria,6,Public
Hungary,Austria,6,Public
Sweden,Austria,5,Public
Ireland,United Kingdom,3,Public
Malta,United Kingdom,1,Public
Australia,United Kingdom,4,Public
San Marino,Armenia,2,Public
Czech Republic,Armenia,8,Public
Georgia,Armenia,12,Public
Spain,Armenia,6,Public
France,Armenia,12,Public
Moldova,Armenia,7,Public
Cyprus,Armenia,8,Public
Bulgaria,Armenia,8,Public
Netherlands,Armenia,8,Public
Israel,Armenia,6,Public
Belarus,Armenia,7,Public
Germany,Armenia,2,Public
Russia,Armenia,12,Public
Belgium,Armenia,7,Public
Greece,Armenia,8,Public
Serbia,Armenia,2,Public
Macedonia,Armenia,7,Public
Albania,Armenia,2,Public
Ukraine,Armenia,7,Public
Italy,Armenia,1,Public
Poland,Armenia,2,Public
